strain,strain_ind,a0,a1,a2
0.02,0.29387755102040813,0.01191199845602612,3.962671533593558,2.687419082206525
0.024482758620689656,0.3326530612244898,0.006394537987789793,3.125935487241376,1.3792468157050528
0.02896551724137931,0.3326530612244898,0.0063520394618237505,3.146569408318892,3.9238421157378607
0.033448275862068964,0.37142857142857144,0.003610948356282781,2.5492587716835335,2.264950423319671
0.03793103448275862,0.37142857142857144,0.0035834834095466333,2.564626088147375,4.334633110066982
0.042413793103448276,0.4102040816326531,0.0021317555184575017,2.122211716549919,2.5357048987358235
0.046896551724137925,0.4102040816326531,0.002113603113283423,2.1341208405253433,4.282594223400279
0.05137931034482758,0.44897959183673475,0.0013040405123983076,1.7965844185592545,2.440603305008307
0.055862068965517236,0.44897959183673475,0.0012917004310347942,1.8060820321009865,3.9499889509034354
0.06034482758620689,0.4877551020408163,0.0008207774196121014,1.5422390701266295,2.114190987970768
0.06482758620689655,0.5265306122448979,0.0005347145431268263,1.3329384858643443,0.41314993694256585
0.0693103448275862,0.5265306122448979,0.0005284824361032061,1.339532244821371,1.6361414096184275
0.07379310344827586,0.5653061224489796,0.000350937660268244,1.1696643249033187,-0.03562144871889878
0.07827586206896552,0.5653061224489796,0.00034638015023668136,1.175200029998046,1.0565833939751093
0.08275862068965517,0.6040816326530613,0.00023345912480759532,1.0353057492318614,-0.5748107746262292
0.08724137931034483,0.6040816326530613,0.00023006251767258775,1.0400126592256171,0.408439478207382
0.09172413793103448,0.6428571428571428,0.00015675738672404617,0.9233337506102323,-1.1768028121932153
0.09620689655172414,0.6428571428571428,0.0001541827980587441,0.9273794498021861,-0.2859710779432206
0.1006896551724138,0.6816326530612244,0.00010577771784786076,0.8289776441379091,-1.822443973842577
0.10517241379310345,0.6816326530612244,0.00010379645048814778,0.8324876071888693,-1.011148450006723
0.1096551724137931,0.7204081632653061,7.138433501746114e-05,0.7486830168603901,-2.498154203033465
0.11413793103448276,0.7204081632653061,6.983879072793295e-05,0.7517531033455426,-1.7561278770211266
0.11862068965517242,0.7591836734693878,4.7893433885512334e-05,0.679755744945609,-3.1941377013760044
0.12310344827586207,0.7979591836734694,3.267367263477384e-05,0.617688318152634,-4.54377355612796
0.1275862068965517,0.7979591836734694,3.1690105101540436e-05,0.6201223451623593,-3.9032322536537656
0.13206896551724137,0.836734693877551,2.1222970590517186e-05,0.5659964629690173,-5.210604496817741
0.136551724137931,0.836734693877551,2.042986229855622e-05,0.5681650458084445,-4.6201462520083725
0.14103448275862068,0.8755102040816326,1.3210912729663109e-05,0.5206636838681303,-5.886486134512219
0.14551724137931032,0.9142857142857143,8.123757336582605e-06,0.4789060466910934,-7.082169305990985
0.15,0.9142857142857143,7.5895112230897504e-06,0.4806766088265993,-6.567696259750752
